Identifiant de document,Reference document,1 Articles CGI,2 Articles CGI,3 Articles CGI,4 Articles CGI,5 Articles CGI,No disposition,Date mutation,Nature mutation,Valeur fonciere,No voie,B/T/Q,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Prefixe de section,Section,No plan,No Volume,1er lot,Surface Carrez du 1er lot,2eme lot,Surface Carrez du 2eme lot,3eme lot,Surface Carrez du 3eme lot,4eme lot,Surface Carrez du 4eme lot,5eme lot,Surface Carrez du 5eme lot,Nombre de lots,Code type local,Type local,Identifiant local,Surface reelle bati,Nombre pieces principales,Nature culture,Nature culture speciale,Surface terrain
,,,,,,,000001,23/01/2023,Vente,"370000,00",17,,RUE,5135,DE LENINGRAD,93000,BOBIGNY,93,8,,AU,97,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,297
,,,,,,,000001,30/01/2023,Vente en l'état futur d'achèvement,"11000,00",24,,RUE,3585,FRIDA KAHLO,93000,BOBIGNY,93,8,,A,318,,1377,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,03/02/2023,Vente,"270000,00",4,,RUE,0089,AVERROES,93000,BOBIGNY,93,8,,C,212,,84,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,03/02/2023,Vente,"270000,00",2,,RUE,0089,AVERROES,93000,BOBIGNY,93,8,,C,212,,8,"67,40",,,,,,,,,1,2,Appartement,,68,3,,,
,,,,,,,000001,09/02/2023,Vente en l'état futur d'achèvement,"342875,00",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,277,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,09/02/2023,Vente en l'état futur d'achèvement,"342875,00",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,56,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,09/02/2023,Vente,"117000,00",16,,RUE,4156,GILBERT HANOT,93000,BOBIGNY,93,8,,X,36,,5,,9,,,,,,,,2,2,Appartement,,20,1,,,
,,,,,,,000001,09/02/2023,Vente,"117000,00",16,,RUE,4156,GILBERT HANOT,93000,BOBIGNY,93,8,,X,36,,4,,7,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,09/02/2023,Vente,"117000,00",16,,RUE,4156,GILBERT HANOT,93000,BOBIGNY,93,8,,X,36,,5,,9,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,09/02/2023,Vente,"117000,00",16,,RUE,4156,GILBERT HANOT,93000,BOBIGNY,93,8,,X,36,,4,,7,,,,,,,,2,2,Appartement,,22,1,,,
,,,,,,,000001,25/01/2023,Vente en l'état futur d'achèvement,"142277,00",,,RUE,1431,CARNOT,93000,BOBIGNY,93,8,,AF,564,,36070,"18,66",,,,,,,,,1,,,,,,,,
,,,,,,,000001,15/02/2023,Vente en l'état futur d'achèvement,"15000,00",147,,RUE,7133,DE PARIS,93000,BOBIGNY,93,8,,AD,131,,295,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,15/02/2023,Vente,"240000,00",3,,AV,7142,PAUL ELUARD,93000,BOBIGNY,93,8,,AH,310,,212,"89,48",57,,,,,,,,2,2,Appartement,,78,4,,,
,,,,,,,000001,17/02/2023,Vente,"214100,00",38,,RUE,8125,RENE CAMIER,93000,BOBIGNY,93,8,,AO,324,,104,,313,,,,,,,,2,3,Dépendance,,0,0,,,
,,,,,,,000001,17/02/2023,Vente,"214100,00",38,,RUE,8125,RENE CAMIER,93000,BOBIGNY,93,8,,AO,324,,104,,313,,,,,,,,2,2,Appartement,,48,3,,,
,,,,,,,000001,09/01/2023,Vente,"327000,00",197,,CHE,4180,DE GROSLAY,93000,BOBIGNY,93,8,,BF,185,,,,,,,,,,,,0,1,Maison,,120,4,S,,312
,,,,,,,000001,09/01/2023,Vente,"327000,00",197,,CHE,4180,DE GROSLAY,93000,BOBIGNY,93,8,,BF,185,,,,,,,,,,,,0,3,Dépendance,,0,0,S,,312
,,,,,,,000001,24/01/2023,Vente en l'état futur d'achèvement,"141277,00",,,RUE,1431,CARNOT,93000,BOBIGNY,93,8,,AF,564,,36033,,,,,,,,,,1,,,,,,,,
,,,,,,,000001,15/02/2023,Vente,"190000,00",4,,RUE,0089,AVERROES,93000,BOBIGNY,93,8,,C,212,,54,,,,,,,,,,1,3,Dépendance,,0,0,,,
,,,,,,,000001,15/02/2023,Vente,"190000,00",4,,RUE,0089,AVERROES,93000,BOBIGNY,93,8,,C,212,,49,,,,,,,,,,1,2,Appartement,,80,4,,,
